"Image type","Feature Class","Feature Name","Segmentation_segment_head"
"diagnostics","Versions","PyRadiomics","v3.1.0.post2+g146e3bd"
"diagnostics","Versions","Numpy","1.26.4"
"diagnostics","Versions","SimpleITK","2.4.0rc2.dev213"
"diagnostics","Versions","PyWavelet","1.6.0"
"diagnostics","Versions","Python","3.9.10"
"diagnostics","Configuration","Settings","{'minimumROIDimensions': 2, 'minimumROISize': None, 'normalize': False, 'normalizeScale': 1, 'removeOutliers': None, 'resampledPixelSpacing': None, 'interpolator': 'sitkBSpline', 'preCrop': False, 'padDistance': 5, 'distances': [1], 'force2D': False, 'force2Ddimension': 0, 'resegmentRange': None, 'label': 1, 'additionalInfo': True, 'binWidth': 25.0, 'symmetricalGLCM': True, 'correctMask': True}"
"diagnostics","Configuration","EnabledImageTypes","{'Original': {}}"
"diagnostics","Image-original","Hash","c6006e7bc4eb8057b1022f8d4854e57b1a0d64ed"
"diagnostics","Image-original","Dimensionality","3D"
"diagnostics","Image-original","Spacing","(0.30000000000000004, 0.30000000000000004, 0.30000000000000004)"
"diagnostics","Image-original","Size","(768, 768, 576)"
"diagnostics","Image-original","Mean","-757.5032671498664"
"diagnostics","Image-original","Minimum","-1000.0"
"diagnostics","Image-original","Maximum","13056.0"
"diagnostics","Mask-original","Hash","8e03695705eb309a3c11dd7ef90a3178f2b29cb2"
"diagnostics","Mask-original","Spacing","(0.30000000000000004, 0.30000000000000004, 0.30000000000000004)"
"diagnostics","Mask-original","Size","(768, 768, 576)"
"diagnostics","Mask-original","BoundingBox","(403, 293, 97, 153, 290, 310)"
"diagnostics","Mask-original","VoxelNum","665915"
"diagnostics","Mask-original","VolumeNum","1"
"diagnostics","Mask-original","CenterOfMassIndex","(488.56263487081685, 435.86778192411947, 215.4565732863804)"
"diagnostics","Mask-original","CenterOfMass","(-237.43120953875516, -253.2396654227641, -7.86302801408587)"
"original","shape","Elongation","0.29902850487528115"
"original","shape","Flatness","0.10486040411400442"
"original","shape","LeastAxisLength","12.39634543805651"
"original","shape","MajorAxisLength","118.2176012270483"
"original","shape","Maximum2DDiameterColumn","71.82290720932981"
"original","shape","Maximum2DDiameterRow","89.62170496034987"
"original","shape","Maximum2DDiameterSlice","56.75077091987386"
"original","shape","Maximum3DDiameter","118.48936661152342"
"original","shape","MeshVolume","17974.517624999273"
"original","shape","MinorAxisLength","35.35043254486646"
"original","shape","Sphericity","0.3765704980714747"
"original","shape","SurfaceArea","8812.030558368027"
"original","shape","SurfaceVolumeRatio","0.49025129587411576"
"original","shape","VoxelVolume","17979.705000000005"
"original","firstorder","10Percentile","119.0"
"original","firstorder","90Percentile","1165.0"
"original","firstorder","Energy","347305063854.0"
"original","firstorder","Entropy","5.935859250001146"
"original","firstorder","InterquartileRange","656.0"
"original","firstorder","Kurtosis","2.1356784612350688"
"original","firstorder","Maximum","1761.0"
"original","firstorder","MeanAbsoluteDeviation","340.24916692893214"
"original","firstorder","Mean","601.3426788704264"
"original","firstorder","Median","571.0"
"original","firstorder","Minimum","-391.0"
"original","firstorder","Range","2152.0"
"original","firstorder","RobustMeanAbsoluteDeviation","262.80790925737006"
"original","firstorder","RootMeanSquared","722.1811673592684"
"original","firstorder","Skewness","0.28081129851483333"
"original","firstorder","TotalEnergy","9377236724.058004"
"original","firstorder","Uniformity","0.017872703057358878"
"original","firstorder","Variance","159932.62105733494"
"original","glcm","Autocorrelation","1935.7134642469732"
"original","glcm","ClusterProminence","2087497.8236446003"
"original","glcm","ClusterShade","6828.821631831845"
"original","glcm","ClusterTendency","979.0302508453933"
"original","glcm","Contrast","41.97409569770958"
"original","glcm","Correlation","0.9181163912163076"
"original","glcm","DifferenceAverage","4.552446225048781"
"original","glcm","DifferenceEntropy","3.6297062237124815"
"original","glcm","DifferenceVariance","18.77769492234202"
"original","glcm","Id","0.3344537418933482"
"original","glcm","Idm","0.25266371348245714"
"original","glcm","Idmn","0.9946024970289961"
"original","glcm","Idn","0.9525122133695372"
"original","glcm","Imc1","-0.2641623184903232"
"original","glcm","Imc2","0.9677157569305478"
"original","glcm","InverseVariance","0.25036470386324305"
"original","glcm","JointAverage","41.24811435487085"
"original","glcm","JointEnergy","0.0010756700136020823"
"original","glcm","JointEntropy","10.337950971436202"
"original","glcm","MCC","0.9270857477543087"
"original","glcm","MaximumProbability","0.0034489978872130336"
"original","glcm","SumAverage","82.49622870974174"
"original","glcm","SumEntropy","6.934671682747747"
"original","glcm","SumSquares","255.25108663577578"
"original","gldm","DependenceEntropy","8.88444426399437"
"original","gldm","DependenceNonUniformity","99926.42097414835"
"original","gldm","DependenceNonUniformityNormalized","0.1500588227839114"
"original","gldm","DependenceVariance","6.558858708080095"
"original","gldm","GrayLevelNonUniformity","11901.701056441138"
"original","gldm","GrayLevelVariance","256.0080552976684"
"original","gldm","HighGrayLevelEmphasis","1902.1813444658853"
"original","gldm","LargeDependenceEmphasis","19.83073064880653"
"original","gldm","LargeDependenceHighGrayLevelEmphasis","42533.38045246015"
"original","gldm","LargeDependenceLowGrayLevelEmphasis","0.026361851324904432"
"original","gldm","LowGrayLevelEmphasis","0.0010906647929638763"
"original","gldm","SmallDependenceEmphasis","0.28003339332227034"
"original","gldm","SmallDependenceHighGrayLevelEmphasis","493.5195493474844"
"original","gldm","SmallDependenceLowGrayLevelEmphasis","0.00026142948687533175"
"original","glrlm","GrayLevelNonUniformity","10884.780531574108"
"original","glrlm","GrayLevelNonUniformityNormalized","0.018199424069342253"
"original","glrlm","GrayLevelVariance","246.40142676382283"
"original","glrlm","HighGrayLevelRunEmphasis","1882.2079872654188"
"original","glrlm","LongRunEmphasis","1.4179792031909342"
"original","glrlm","LongRunHighGrayLevelEmphasis","2755.973666506043"
"original","glrlm","LongRunLowGrayLevelEmphasis","0.001596391421213224"
"original","glrlm","LowGrayLevelRunEmphasis","0.001071638252571411"
"original","glrlm","RunEntropy","6.41802393898558"
"original","glrlm","RunLengthNonUniformity","500651.1167123552"
"original","glrlm","RunLengthNonUniformityNormalized","0.8345540010760933"
"original","glrlm","RunPercentage","0.8983439212327284"
"original","glrlm","RunVariance","0.1704606950593625"
"original","glrlm","ShortRunEmphasis","0.9295483084118433"
"original","glrlm","ShortRunHighGrayLevelEmphasis","1737.0959692874565"
"original","glrlm","ShortRunLowGrayLevelEmphasis","0.0009832784034249122"
"original","glszm","GrayLevelNonUniformity","4415.068213800644"
"original","glszm","GrayLevelNonUniformityNormalized","0.021648115509424724"
"original","glszm","GrayLevelVariance","171.59651043553106"
"original","glszm","HighGrayLevelZoneEmphasis","1749.5978955316823"
"original","glszm","LargeAreaEmphasis","591.6355474706664"
"original","glszm","LargeAreaHighGrayLevelEmphasis","1277799.3521061845"
"original","glszm","LargeAreaLowGrayLevelEmphasis","0.8303522216824433"
"original","glszm","LowGrayLevelZoneEmphasis","0.0009226297905597864"
"original","glszm","SizeZoneNonUniformity","84936.82090445067"
"original","glszm","SizeZoneNonUniformityNormalized","0.4164651645008295"
"original","glszm","SmallAreaEmphasis","0.6706545060304187"
"original","glszm","SmallAreaHighGrayLevelEmphasis","1161.884298009946"
"original","glszm","SmallAreaLowGrayLevelEmphasis","0.0005998040478828398"
"original","glszm","ZoneEntropy","7.694439583662418"
"original","glszm","ZonePercentage","0.3062658147060811"
"original","glszm","ZoneVariance","580.9744245035156"
"original","ngtdm","Busyness","8.206714544076222"
"original","ngtdm","Coarseness","4.254861155150846e-05"
"original","ngtdm","Complexity","5900.966601434487"
"original","ngtdm","Contrast","0.1260937266755806"
"original","ngtdm","Strength","0.12740358321560677"
