Feature Name,Segmentation_segment_head_standard,Segmentation_segment_head_potology,abs_difference,Feature Description
Energy,347305063854.0,1618130912889.0,1270825849035.0,Нет данных
TotalEnergy,9377236724.058004,12945047303.112003,3567810579.053999,Нет данных
LargeAreaHighGrayLevelEmphasis,1277799.3521061845,20918885.394256614,19641086.04215043,Нет данных
ClusterProminence,2087497.8236446003,5608665.668279499,3521167.8446348985,Нет данных
VoxelNum,665915,1885915,1220000.0,Нет данных
RunLengthNonUniformity,500651.1167123552,1385536.572936258,884885.4562239029,Неоднородность длины пробега — мера вариативности длин последовательностей одинаковых значений
DependenceNonUniformity,99926.42097414835,274008.4562554516,174082.03528130325,Неоднородность зависимости — вариативность размеров зависимых областей
Variance,159932.62105733494,282683.06702738884,122750.4459700539,Дисперсия — среднеквадратичное отклонение интенсивностей
SizeZoneNonUniformity,84936.82090445067,160319.9198294465,75383.09892499584,Неоднородность размеров зон — вариативность размеров областей с одинаковыми значениями
LargeDependenceHighGrayLevelEmphasis,42533.38045246015,60632.29925261743,18098.918800157277,Выделение больших областей высокой интенсивности
GrayLevelNonUniformity,11901.701056441138,28182.086774324398,16280.38571788326,Неоднородность уровней серого — вариативность интенсивностей в изображении
GrayLevelNonUniformity,10884.780531574108,25119.142880970143,14234.362349396035,Неоднородность уровней серого — вариативность интенсивностей в изображении
ClusterShade,6828.821631831845,17067.12682480223,10238.305192970387,Кластерный оттенок — мера асимметрии текстурных кластеров
Maximum,13056.0,3095.0,9961.0,Максимум — наибольшее значение интенсивности
LargeAreaEmphasis,591.6355474706664,3777.8080956295103,3186.1725481588437,Выделение больших областей — определяет значимость больших однородных зон
ZoneVariance,580.9744245035156,3759.5714568516114,3178.597032348096,Дисперсия зон — изменчивость размеров областей
MeshVolume,17974.517624999273,15025.722000000671,2948.795624998602,Объём сетки — рассчитанный объём объекта на основе сеточной модели
VoxelVolume,17979.705000000005,15087.320000000003,2892.385000000002,Объём вокселей — суммарный объём вокселей в зоне интереса
SurfaceArea,8812.030558368027,11678.125495116354,2866.0949367483263,Площадь поверхности — площадь границы сегментированной области
GrayLevelNonUniformity,4415.068213800644,7230.2605605258805,2815.1923467252363,Неоднородность уровней серого — вариативность интенсивностей в изображении
LongRunHighGrayLevelEmphasis,2755.973666506043,4126.0847770318815,1370.1111105258383,Выделение длинных последовательностей с высокой интенсивностью
Complexity,5900.966601434487,7251.205797511133,1350.2391960766463,Сложность — мера сложности текстуры на основе различий между пикселями
HighGrayLevelEmphasis,1902.1813444658853,2839.668824416795,937.4874799509096,Выделение высоких уровней серого — оценивает преобладание ярких областей
HighGrayLevelRunEmphasis,1882.2079872654188,2809.6346635458567,927.426676280438,Выделение длинных ярких последовательностей пикселей
Autocorrelation,1935.7134642469732,2852.350018923592,916.6365546766187,Автокорреляция — мера повторяемости интенсивностей в изображении
HighGrayLevelZoneEmphasis,1749.5978955316823,2625.519411441032,875.9215159093496,Выделение ярких зон — оценивает вклад зон высокой интенсивности
ShortRunHighGrayLevelEmphasis,1737.0959692874565,2577.328070372504,840.2321010850476,Выделение коротких последовательностей с высокой интенсивностью
ClusterTendency,979.0302508453933,1799.04701258554,820.0167617401466,Кластерная тенденция — склонность пикселей образовывать однородные кластеры
SmallAreaHighGrayLevelEmphasis,1161.884298009946,1669.6038192210128,507.7195212110669,Выделение маленьких ярких областей
90Percentile,1165.0,1503.0,338.0,"90-й перцентиль — значение интенсивности, ниже которого лежат 90% значений"
InterquartileRange,656.0,969.0,313.0,Межквартильный размах — разница между 75-м и 25-м процентилями
Range,2152.0,2456.0,304.0,Диапазон — разница между максимальным и минимальным значением интенсивности
Maximum,1761.0,2017.0,256.0,Максимум — наибольшее значение интенсивности
RootMeanSquared,722.1811673592684,926.2874287379088,204.1062613786404,Среднеквадратичное значение — мера общего уровня интенсивности
SumSquares,255.25108663577578,457.49301293614906,202.24192630037328,Сумма квадратов — мера разброса интенсивностей
Mean,-757.5032671498664,-558.4072434057805,199.09602374408587,Среднее значение интенсивности
GrayLevelVariance,256.0080552976684,452.3673538697709,196.3592985721025,Дисперсия уровней серого — изменчивость интенсивностей
GrayLevelVariance,246.40142676382283,439.5033102130995,193.10188344927667,Дисперсия уровней серого — изменчивость интенсивностей
Mean,601.3426788704264,758.5020327003073,157.15935382988084,Среднее значение интенсивности
MeanAbsoluteDeviation,340.24916692893214,471.950375535501,131.70120860656885,Среднее абсолютное отклонение — среднее отклонение интенсивностей от среднего
RobustMeanAbsoluteDeviation,262.80790925737006,387.6658247602262,124.85791550285614,"Устойчивое среднее абсолютное отклонение — аналог MAD, но устойчивый к выбросам"
Median,571.0,683.0,112.0,"Медиана — значение, делящее распределение интенсивностей пополам"
GrayLevelVariance,171.59651043553106,278.8460825949004,107.24957215936934,Дисперсия уровней серого — изменчивость интенсивностей
SmallDependenceHighGrayLevelEmphasis,493.5195493474844,597.7981477361996,104.27859838871512,Выделение мелких зависимых областей высокой интенсивности
Minimum,-391.0,-439.0,48.0,Минимум — наименьшее значение интенсивности
MajorAxisLength,118.2176012270483,97.39586211448928,20.82173911255903,"Длина главной оси — длина самой длинной оси эллипсоида, аппроксимирующего объект"
Maximum3DDiameter,118.48936661152342,101.0324700282043,17.45689658331912,Максимальный 3D диаметр — наибольшее расстояние между точками объекта
Maximum2DDiameterColumn,71.82290720932981,55.93782262476794,15.885084584561874,Максимальный 2D диаметр (колонка) — наибольшая ширина объекта в одном измерении
SumAverage,82.49622870974174,98.1899475457761,15.693718836034364,Среднее суммы — характеристика совместного распределения интенсивностей
Contrast,41.97409569770958,30.925039159055903,11.049056538653677,Контраст — разница между соседними интенсивностями
Maximum2DDiameterSlice,56.75077091987386,66.90231685076385,10.151545930889995,Максимальный 2D диаметр (срез) — наибольший размер в пределах одного среза
JointAverage,41.24811435487085,49.09497377288808,7.846859418017232,Среднее совместного распределения интенсивностей
10Percentile,119.0,126.0,7.0,"10-й перцентиль — значение, ниже которого 10% значений интенсивности"
Maximum2DDiameterRow,89.62170496034987,95.49240807519728,5.870703114847402,Максимальный 2D диаметр (ряд) — ширина объекта по горизонтали
Busyness,8.206714544076222,13.415637083591514,5.208922539515292,Загруженность — мера локальной неоднородности интенсивностей
DifferenceVariance,18.77769492234202,14.791762722237722,3.9859322001042994,Дисперсия разностей — мера вариативности разностей интенсивностей
DependenceVariance,6.558858708080095,4.684443860820071,1.8744148472600237,Дисперсия зависимостей — мера вариативности областей зависимостей
MinorAxisLength,35.35043254486646,33.58852895788878,1.761903586977681,"Длина малой оси — короткая ось эллипсоида, аппроксимирующего объект"
LargeDependenceEmphasis,19.83073064880653,18.768274816203274,1.0624558326032556,Выделение больших зависимых областей
LargeAreaLowGrayLevelEmphasis,0.8303522216824433,1.7722325485169979,0.9418803268345546,Выделение больших тёмных областей
LeastAxisLength,12.39634543805651,13.185237654819437,0.7888922167629264,Длина наименьшей оси — самая короткая ось 3D объекта
ZoneEntropy,7.694439583662418,8.387761107968561,0.6933215243061435,Энтропия зон — мера случайности распределения зон
DifferenceAverage,4.552446225048781,3.9016083075597168,0.6508379174890644,Среднее разностей — мера отличий между соседними интенсивностями
Kurtosis,2.1356784612350688,1.7510487249334787,0.38462973630159003,Куртозис — характеристика остроты распределения интенсивностей
RunEntropy,6.41802393898558,6.73250417173959,0.3144802327540104,Энтропия пробегов — мера случайности последовательностей пикселей
SurfaceVolumeRatio,0.49025129587411576,0.7772089417810227,0.286957645906907,Отношение площади к объёму — показатель компактности формы
Entropy,5.935859250001146,6.2053128880609,0.26945363805975386,Энтропия — мера случайности интенсивностей
SumEntropy,6.934671682747747,7.193060185673156,0.25838850292540894,Суммарная энтропия — мера неоднородности совместного распределения
DependenceEntropy,8.88444426399437,9.066589078732292,0.18214481473792254,Энтропия зависимостей — случайность распределения зависимых областей
DifferenceEntropy,3.6297062237124815,3.464875283742827,0.16483093996965437,Энтропия разностей — случайность распределения разностей интенсивностей
Sphericity,0.3765704980714747,0.25215517530229775,0.12441532276917694,Сферичность — мера похожести объекта на сферу
JointEntropy,10.337950971436202,10.421866247426257,0.083915275990055,Совместная энтропия — мера случайности совместного распределения интенсивностей
ZonePercentage,0.3062658147060811,0.23416802984227816,0.07209778486380294,Процент зон — доля областей относительно общего количества вокселей
SmallDependenceEmphasis,0.28003339332227034,0.2233060753150082,0.056727318007262134,Выделение мелких зависимых областей
Imc1,-0.2641623184903232,-0.3206449875005708,0.05648266901024762,Информация о корреляции 1 — мера зависимости между интенсивностями
Strength,0.12740358321560677,0.07126943895486829,0.05613414426073848,Сила — характеристика текстурной структуры
SizeZoneNonUniformityNormalized,0.4164651645008295,0.3630260332489771,0.0534391312518524,Нормализованная неоднородность размеров зон
Contrast,0.1260937266755806,0.1745088649380284,0.04841513826244778,Контраст — разница между соседними интенсивностями
Correlation,0.9181163912163076,0.9662601672342063,0.048143776017898654,Корреляция — мера связи между интенсивностями соседних пикселей
Skewness,0.28081129851483333,0.2335307838030806,0.047280514711752736,Асимметрия — мера сдвига распределения интенсивностей
Elongation,0.29902850487528115,0.3448660777642207,0.045837572888939526,Удлинённость — степень вытянутости формы
SmallAreaEmphasis,0.6706545060304187,0.6254619084088984,0.04519259762152028,Выделение мелких областей
MCC,0.9270857477543087,0.9671159602827809,0.040030212528472164,Матчевый коэффициент корреляции
Flatness,0.10486040411400442,0.13537780115668702,0.030517397042682595,Плоскостность — степень сплюснутости формы
Imc2,0.9677157569305478,0.9883932965321638,0.020677539601616002,Информация о корреляции 2 — мера связи между интенсивностями
InverseVariance,0.25036470386324305,0.2695623750570762,0.019197671193833143,Нет данных
Id,0.3344537418933482,0.35294216756494234,0.018488425671594144,Нет данных
Idm,0.25266371348245714,0.269268022678574,0.016604309196116884,Нет данных
RunLengthNonUniformityNormalized,0.8345540010760933,0.8200742283909115,0.014479772685181858,Нет данных
Idn,0.9525122133695372,0.9634223638701539,0.010910150500616722,Нет данных
LargeDependenceLowGrayLevelEmphasis,0.026361851324904432,0.01632102728728813,0.010040824037616303,Нет данных
RunVariance,0.1704606950593625,0.1617849247686922,0.00867577029067032,Нет данных
ShortRunEmphasis,0.9295483084118433,0.9234369084783776,0.0061113999334657665,Нет данных
GrayLevelNonUniformityNormalized,0.021648115509424724,0.016372094081861778,0.005276021427562946,Нет данных
DependenceNonUniformityNormalized,0.1500588227839114,0.14529204988318753,0.004766772900723859,Нет данных
RunPercentage,0.8983439212327284,0.8941214211669136,0.004222500065814816,Нет данных
GrayLevelNonUniformityNormalized,0.018199424069342253,0.01489749513617991,0.0033019289331623434,Нет данных
Uniformity,0.017872703057358878,0.014943455444346325,0.0029292476130125533,Нет данных
Idmn,0.9946024970289961,0.9968971580563484,0.0022946610273523182,Нет данных
LongRunLowGrayLevelEmphasis,0.001596391421213224,0.0011943066020690695,0.00040208481914415445,Нет данных
LowGrayLevelEmphasis,0.0010906647929638763,0.000839978172187227,0.00025068662077664934,Нет данных
LongRunEmphasis,1.4179792031909342,1.418221709915886,0.000242506724951852,Нет данных
LowGrayLevelRunEmphasis,0.001071638252571411,0.0008352873041457926,0.0002363509484256184,Нет данных
ShortRunLowGrayLevelEmphasis,0.0009832784034249122,0.0007665357657251393,0.0002167426376997729,Нет данных
LowGrayLevelZoneEmphasis,0.0009226297905597864,0.0007071660881929076,0.0002154637023668788,Нет данных
SmallAreaLowGrayLevelEmphasis,0.0005998040478828398,0.00041687654458381326,0.00018292750329902658,Нет данных
MaximumProbability,0.0034489978872130336,0.0035539772000331015,0.00010497931282006786,Нет данных
SmallDependenceLowGrayLevelEmphasis,0.00026142948687533175,0.00016208866123360139,9.934082564173037e-05,Нет данных
JointEnergy,0.0010756700136020823,0.0011037152853816206,2.8045271779538307e-05,Нет данных
Coarseness,4.254861155150846e-05,1.971259731703035e-05,2.283601423447811e-05,Нет данных
